2021:06:15 14:07:54 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:07:55 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:07:56 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:07:57 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:07:58 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:07:59 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:00 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:00 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:01 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:03 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:04 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:04 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:06 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:06 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:07 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:08 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:09 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:09 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:10 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:10 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:12 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:12 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:13 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:13 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:14 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:15 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:15 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:16 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:16 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:17 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:18 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:18 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:19 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:19 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:20 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:21 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:21 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:22 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:22 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:23 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:24 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:24 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:25 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:25 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:26 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:27 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:27 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:28 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:28 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:29 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:30 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:30 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:31 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:31 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:32 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:33 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:33 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:34 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:34 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:35 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:36 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:36 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:37 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:37 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:38 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:39 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:39 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:40 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:40 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:41 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:42 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:42 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:43 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:43 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:44 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:45 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:45 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:46 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:46 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:47 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:48 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:48 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:49 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:49 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:50 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:51 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:51 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:52 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:52 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:53 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:54 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:55 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:55 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:56 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:57 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:58 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:08:59 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:00 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:01 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:03 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:03 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:04 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:04 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:06 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:07 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:08 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:09 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:10 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:10 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:11 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:12 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:12 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:13 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:13 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:14 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:15 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:15 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:16 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:16 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:17 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:18 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:18 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:19 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:19 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:20 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:21 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:21 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:22 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:22 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:23 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:24 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:24 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:25 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:25 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:26 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:27 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:27 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:28 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:29 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:30 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:30 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:31 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:31 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:32 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:33 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:33 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:34 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:34 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:35 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:36 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:36 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:37 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:37 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:38 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:39 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:39 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:40 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:40 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:41 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:42 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:42 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:43 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:43 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:44 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:45 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:45 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:46 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:46 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:47 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:48 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:48 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:49 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:49 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:50 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:51 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:51 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:52 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:52 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:53 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:54 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:54 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:55 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:55 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:56 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:57 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:57 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:58 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:58 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:09:59 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:00 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:00 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:01 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:03 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:03 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:04 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:04 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:06 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:06 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:07 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:07 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:08 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:09 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:09 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:10 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:10 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:11 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:12 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:12 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:13 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:13 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:14 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:15 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:15 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:16 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:16 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:17 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:18 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
2021:06:15 14:10:18 IST +0530,736.3,50,"{'open': 590.95, 'high': 792.8, 'low': 541.25, 'close': 595.85}"
